"coords.x1","coords.x2","Permanent_Identifier","X.1","X","OBJECTID","Shape","ORIG_FID","DomainNum","SiteID","Source","Length","Shape_Leng","slope","row_count","Q_multiplier"
-105.56213,40.038087,1001,45,45,45,"Point",0,"D13","COMO",NA,0,2899.690984,0.157404511,45,0.238339747299114
-105.56195,40.038035,1001,46,46,46,"Point",0,"D13","COMO",NA,0,2899.690984,0.16325474,46,0.242871225789692
-105.561792,40.037937,1001,47,47,47,"Point",0,"D13","COMO",NA,0,2899.690984,0.133600446,47,0.247655629898638
-105.561592,40.037909,1001,48,48,48,"Point",0,"D13","COMO",NA,0,2899.690984,0.064695284,48,0.252446266240977
-105.561422,40.037834,1001,49,49,49,"Point",0,"D13","COMO",NA,0,2899.690984,0.042373489,49,0.257065391038454
-105.561251,40.037758,1001,50,50,50,"Point",0,"D13","COMO",NA,0,2899.690984,0.056223982,50,0.261720243333065
-105.561068,40.037681,1001,51,51,51,"Point",0,"D13","COMO",NA,0,2899.690984,0.085975934,51,0.266636599910322
-105.56089,40.037608,1001,52,52,52,"Point",0,"D13","COMO",NA,0,2899.690984,0.10353393,52,0.271390992904201
-105.5607,40.037627,1001,53,53,53,"Point",0,"D13","COMO",NA,0,2899.690984,0.08756549,53,0.27590618765435
-105.560501,40.037604,1001,54,54,54,"Point",0,"D13","COMO",NA,0,2899.690984,0.10284525,54,0.280648458250102
-105.560322,40.037643,1001,55,55,55,"Point",0,"D13","COMO",NA,0,2899.690984,0.091262898,55,0.285032885813787
-105.560137,40.037618,1001,56,56,56,"Point",0,"D13","COMO",NA,0,2899.690984,0.108188365,56,0.289459381647545
-105.559989,40.037543,1001,57,57,57,"Point",0,"D13","COMO",NA,0,2899.690984,0.074870626,57,0.293636857970448
-105.559827,40.037472,1001,58,58,58,"Point",0,"D13","COMO",NA,0,2899.690984,0.114537324,58,0.29803146556664
-105.559635,40.037479,1001,59,59,59,"Point",0,"D13","COMO",NA,0,2899.690984,0.071704479,59,0.302561154614718
-105.559431,40.037447,1001,60,60,60,"Point",0,"D13","COMO",NA,0,2899.690984,0.070653539,60,0.307467630995361
-105.559232,40.037423,1001,61,61,61,"Point",0,"D13","COMO",NA,0,2899.690984,0.056917357,61,0.312214569355319
-105.559063,40.037354,1001,62,62,62,"Point",0,"D13","COMO",NA,0,2899.690984,0.107599871,62,0.316724133177282
-105.558877,40.03735,1001,63,63,63,"Point",0,"D13","COMO",NA,0,2899.690984,0.115841651,63,0.321109064715445
-105.558681,40.037381,1001,64,64,64,"Point",0,"D13","COMO",NA,0,2899.690984,0.091629085,64,0.32582470554445
-105.558495,40.037366,1001,65,65,65,"Point",0,"D13","COMO",NA,0,2899.690984,0.052153404,65,0.330231979213037
-105.55834,40.037318,1001,66,66,66,"Point",0,"D13","COMO",NA,0,2899.690984,0.053939764,66,0.33416996246486
-105.558147,40.037271,1001,67,67,67,"Point",0,"D13","COMO",NA,0,2899.690984,0.081651727,67,0.338940945654176
-105.557925,40.037284,1001,68,68,68,"Point",0,"D13","COMO",NA,0,2899.690984,0.130402419,68,0.344187692070479
-105.55772,40.037303,1001,69,69,69,"Point",0,"D13","COMO",NA,0,2899.690984,0.185324893,69,0.349053653003505
-105.557505,40.037285,1001,70,70,70,"Point",0,"D13","COMO",NA,0,2899.690984,0.192741794,70,0.354150243493588
-105.55731,40.03731,1001,71,71,71,"Point",0,"D13","COMO",NA,0,2899.690984,0.168896018,71,0.358809036283574
-105.557146,40.037389,1001,72,72,72,"Point",0,"D13","COMO",NA,0,2899.690984,0.11767051,72,0.363370029632142
-105.556982,40.037282,1001,73,73,73,"Point",0,"D13","COMO",NA,0,2899.690984,0.127416318,73,0.368439339619658
-105.556796,40.037266,1001,74,74,74,"Point",0,"D13","COMO",NA,0,2899.690984,0.096434295,74,0.372849924086931
-105.556653,40.037165,1001,75,75,75,"Point",0,"D13","COMO",NA,0,2899.690984,0.075343935,75,0.377426451614446
-105.556489,40.037058,1001,76,76,76,"Point",0,"D13","COMO",NA,0,2899.690984,0.028437864,76,0.382495771160265
-105.556357,40.036993,1001,77,77,77,"Point",0,"D13","COMO",NA,0,2899.690984,0.034175041,77,0.386190040815579
-105.556224,40.036873,1001,78,78,78,"Point",0,"D13","COMO",NA,0,2899.690984,0.053262307,78,0.391023131749037
-105.556013,40.036866,1001,79,79,79,"Point",0,"D13","COMO",NA,0,2899.690984,0.116843112,79,0.396000154260998
-105.555831,40.036781,1001,80,80,80,"Point",0,"D13","COMO",NA,0,2899.690984,0.138431306,80,0.401018770986592
-105.555727,40.036634,1001,81,81,81,"Point",0,"D13","COMO",NA,0,2899.690984,0.165721754,81,0.406148874951945
-105.55568,40.036566,1001,82,82,82,"Point",4,"D13","COMO",NA,0,1762.790324,0.135443212,82,0.408509612903561
-105.564924,40.037244,1005,83,83,151,"Point",4,"D13","COMO",NA,0,1762.790324,0.110434184,83,0.0259488101736022
-105.564874,40.037325,1005,84,84,152,"Point",4,"D13","COMO",NA,0,1762.790324,0.071648673,84,0.0261715715850551
-105.564741,40.037362,1005,85,85,153,"Point",4,"D13","COMO",NA,0,1762.790324,0.074492779,85,0.0264417024944708
-105.564673,40.037443,1005,86,86,154,"Point",4,"D13","COMO",NA,0,1762.790324,0.06519119,86,0.0266812222780056
-105.564476,40.037442,1005,87,87,155,"Point",4,"D13","COMO",NA,0,1762.790324,0.084987114,87,0.0270574649493205
-105.56436,40.037416,1005,88,88,156,"Point",4,"D13","COMO",NA,0,1762.790324,0.055389344,88,0.027288230721877
-105.564361,40.037282,1005,89,89,157,"Point",4,"D13","COMO",NA,0,1762.790324,0.083728815,89,0.0276211786357249
-105.56426,40.037161,1005,90,90,158,"Point",4,"D13","COMO",NA,0,1762.790324,0.050724402,90,0.0279783804256184
-105.564182,40.037059,1005,91,91,159,"Point",4,"D13","COMO",NA,0,1762.790324,0.04455707,91,0.0282723527835354
-105.564041,40.036961,1005,92,92,160,"Point",4,"D13","COMO",NA,0,1762.790324,0.045888671,92,0.0286354023769572
-105.56393,40.037011,1005,93,93,161,"Point",4,"D13","COMO",NA,0,1762.790324,0.105158668,93,0.0288811135917795
-105.563873,40.037141,1005,94,94,162,"Point",4,"D13","COMO",NA,0,1762.790324,0.114822757,94,0.0292219684677807
-105.563725,40.03725,1005,95,95,163,"Point",4,"D13","COMO",NA,0,1762.790324,0.091490131,95,0.0296134277297849
-105.563704,40.037159,1005,96,96,164,"Point",4,"D13","COMO",NA,0,1762.790324,0.037583122,96,0.029843059930272
-105.563551,40.03714,1005,97,97,165,"Point",4,"D13","COMO",NA,0,1762.790324,0.021561063,97,0.0301390524887247
-105.563346,40.037112,1005,98,98,166,"Point",4,"D13","COMO",NA,0,1762.790324,0.011549098,98,0.0305367003963353
-105.563212,40.037118,1005,99,99,167,"Point",4,"D13","COMO",NA,0,1762.790324,0.01070317,99,0.0307930512953915
-105.563106,40.037121,1005,100,100,168,"Point",4,"D13","COMO",NA,0,1762.790324,0.012257387,100,0.0309956303122189
-105.563072,40.037263,1005,101,101,169,"Point",4,"D13","COMO",NA,0,1762.790324,0.014247049,101,0.0313543754850694
-105.562976,40.037298,1005,102,102,170,"Point",4,"D13","COMO",NA,0,1762.790324,0.02016241,102,0.0315572971167514
-105.562802,40.037205,1005,103,103,171,"Point",4,"D13","COMO",NA,0,1762.790324,0.049374619,103,0.0319620487624138
-105.562876,40.037097,1005,104,104,172,"Point",4,"D13","COMO",NA,0,1762.790324,0.071215402,104,0.032265331859732
