"X","date","discharge_modeled","Elmt_ID","flowing","topaz_id","Permanent_Identifier"
211107,"2020-07-20",0.0059287037037037,143,1,NA,NA
211108,"2020-07-20",0.00202013888888889,144,1,204,2021
211109,"2020-07-20",0.00853877314814815,145,1,194,2082
211110,"2020-07-20",0.00156921296296296,146,1,184,2081
211111,"2020-07-20",0.0118581018518519,147,1,174,2040
211112,"2020-07-20",0.0118581018518519,147,1,174,2066
211113,"2020-07-20",0.0413900462962963,148,1,164,2033
211114,"2020-07-20",0.00133703703703704,149,1,154,2027
211115,"2020-07-20",0.0019849537037037,150,1,144,2056
211116,"2020-07-20",0.00227939814814815,151,1,NA,NA
211117,"2020-07-20",0.00413877314814815,152,1,124,2077
211118,"2020-07-20",0.00750844907407407,153,1,114,2002
211119,"2020-07-20",0.0123361111111111,154,1,104,2035
211120,"2020-07-20",0.0123361111111111,154,1,104,2067
211121,"2020-07-20",0.0123361111111111,154,1,104,2034
211122,"2020-07-20",0.0140357638888889,155,1,94,2022
211123,"2020-07-20",0.0559759259259259,156,1,84,2083
211124,"2020-07-20",0.00184780092592593,157,1,NA,NA
211125,"2020-07-20",0.0594868055555556,158,1,64,2004
211126,"2020-07-20",0.0787302083333333,159,1,54,2010
211127,"2020-07-20",0.0787302083333333,159,1,54,2084
211128,"2020-07-20",0.0787302083333333,159,1,54,2012
211129,"2020-07-20",0.0787302083333333,159,1,54,2068
211130,"2020-07-20",0.083428587962963,160,1,44,2029
211131,"2020-07-20",0.083428587962963,160,1,44,2058
211132,"2020-07-20",0.083428587962963,160,1,44,2086
211133,"2020-07-20",0.083428587962963,160,1,44,2048
211134,"2020-07-20",0.00508125,161,1,34,2001
211135,"2020-07-20",0.00508125,161,1,34,2078
211136,"2020-07-20",0.0896047453703704,162,1,24,2039
211137,"2020-07-20",0.0896047453703704,162,1,24,2024
211138,"2020-07-20",0.0896047453703704,162,1,24,2051
211139,"2020-07-20",0.0896047453703704,162,1,24,2046
211140,"2020-07-20",0.0896047453703704,162,1,24,2005
211141,"2020-07-21",0.00204768518518518,108,1,564,2014
211142,"2020-07-21",0.00204768518518518,108,1,564,2076
211143,"2020-07-21",0.00226354166666667,109,1,554,2054
211144,"2020-07-21",0.00226354166666667,109,1,554,2015
211145,"2020-07-21",0.00226354166666667,109,1,554,2061
211146,"2020-07-21",0.00226354166666667,109,1,554,2079
211147,"2020-07-21",0.00313784722222222,110,1,544,2028
211148,"2020-07-21",0.00313784722222222,110,1,544,2018
211149,"2020-07-21",0.00313784722222222,110,1,544,2069
211150,"2020-07-21",0.00313784722222222,110,1,544,2062
211151,"2020-07-21",0.00313784722222222,110,1,544,2065
211152,"2020-07-21",0.00808819444444444,111,1,534,2063
211153,"2020-07-21",0.00808819444444444,111,1,534,2055
211154,"2020-07-21",0.00808819444444444,111,1,534,2037
211155,"2020-07-21",0.00808819444444444,111,1,534,2044
211156,"2020-07-21",0.00808819444444444,111,1,534,2026
211157,"2020-07-21",0.00808819444444444,111,1,534,2008
211158,"2020-07-21",0.00707326388888889,112,1,524,2071
211159,"2020-07-21",0.00707326388888889,112,1,524,2089
211160,"2020-07-21",0.00707326388888889,112,1,524,2075
211161,"2020-07-21",0.00707326388888889,112,1,524,2013
211162,"2020-07-21",0.00707326388888889,112,1,524,2073
211163,"2020-07-21",0.015155787037037,113,1,NA,NA
211164,"2020-07-21",0.00223564814814815,114,1,504,2070
211165,"2020-07-21",0.0173857638888889,115,1,NA,NA
211166,"2020-07-21",0,116,0,484,2036
211167,"2020-07-21",0,116,0,484,2053
211168,"2020-07-21",0,116,0,484,2030
211169,"2020-07-21",0,116,0,484,2088
211170,"2020-07-21",0,117,0,474,2006
211171,"2020-07-21",0.00468310185185185,118,1,NA,NA
211172,"2020-07-21",0.00190243055555556,119,1,454,2032
211173,"2020-07-21",0.00190243055555556,119,1,454,2087
211174,"2020-07-21",0.00111215277777778,120,1,444,2020
211175,"2020-07-21",0,121,0,NA,NA
211176,"2020-07-21",0.00143009259259259,122,1,424,2031
211177,"2020-07-21",0.00143009259259259,122,1,424,2017
211178,"2020-07-21",0.00321770833333333,123,1,414,2049
211179,"2020-07-21",0.00321770833333333,123,1,414,2042
