"","DayOfYear","Interp.Value","LowerBound","UpperBound","gw_min","gw_max","AvgWaterTemp_C","NEP_median","NEP_lower","NEP_upper","daily_NEP","atm_CO2_ppm","date","measured_discharge"
"1",122,20585.0099995102,19605.76,25267.1896002069,20585.0099995102,35003.1821247607,0.0150208333333333,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,436.377703928722,2020-05-01,0.144911979166667
"2",122,20585.0099995102,19605.76,25267.1896002069,20585.0099995102,35003.1821247607,0.0150208333333333,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,436.377703928722,2022-05-02,3.963163125
"3",122,20585.0099995102,19605.76,25267.1896002069,20585.0099995102,35003.1821247607,0.0150208333333333,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,436.377703928722,2021-05-02,0.272350520833333
"4",122,20585.0099995102,19605.76,25267.1896002069,20585.0099995102,35003.1821247607,0.0150208333333333,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,436.377703928722,2023-05-02,0.349156875
"5",123,20770.1001750314,19768.4947611188,25334.7678402023,20585.0099995102,35003.1821247607,0.00510416666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.470470817883,2022-05-03,3.23045739583333
"6",123,20770.1001750314,19768.4947611188,25334.7678402023,20585.0099995102,35003.1821247607,0.00510416666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.470470817883,2020-05-02,0.164128020833333
"7",123,20770.1001750314,19768.4947611188,25334.7678402023,20585.0099995102,35003.1821247607,0.00510416666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.470470817883,2023-05-03,0.409973125
"8",123,20770.1001750314,19768.4947611188,25334.7678402023,20585.0099995102,35003.1821247607,0.00510416666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.470470817883,2021-05-03,0.3674409375
"9",124,20955.1399851183,19931.2351574571,25402.3460801977,20585.0099995102,35003.1821247607,0.0166041666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.618313019375,2020-05-03,0.2059715625
"10",124,20955.1399851183,19931.2351574571,25402.3460801977,20585.0099995102,35003.1821247607,0.0166041666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.618313019375,2022-05-04,2.609073125
"11",124,20955.1399851183,19931.2351574571,25402.3460801977,20585.0099995102,35003.1821247607,0.0166041666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.618313019375,2023-05-04,0.452218854166667
"12",124,20955.1399851183,19931.2351574571,25402.3460801977,20585.0099995102,35003.1821247607,0.0166041666666667,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,438.618313019375,2021-05-04,0.638766354166667
"13",125,21140.065606894,20093.9619525896,25469.9243201931,20585.0099995102,35003.1821247607,0.0238064516129032,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,439.292971860737,2020-05-04,0.270686770833333
"14",125,21140.065606894,20093.9619525896,25469.9243201931,20585.0099995102,35003.1821247607,0.0238064516129032,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,439.292971860737,2022-05-05,2.39317604166667
"15",125,21140.065606894,20093.9619525896,25469.9243201931,20585.0099995102,35003.1821247607,0.0238064516129032,3.52086430536986,1.91388094289551,5.25259372100109,3.52086430536986,439.292971860737,2023-05-05,0.491767083333333
