,coords.x1,coords.x2,X,OBJECTID,Shape,ORIG_FID,DomainNum,SiteID,Source,Length,Shape_Leng,Permanent_Identifier,slope
64,-105.558681,40.037381,64,64,Point,0,D13,COMO,NA,0,2899.690984,1001,0.091629085
65,-105.558495,40.037366,65,65,Point,0,D13,COMO,NA,0,2899.690984,1001,0.052153404
66,-105.55834,40.037318,66,66,Point,0,D13,COMO,NA,0,2899.690984,1001,0.053939764
67,-105.558147,40.037271,67,67,Point,0,D13,COMO,NA,0,2899.690984,1001,0.081651727
68,-105.557925,40.037284,68,68,Point,0,D13,COMO,NA,0,2899.690984,1001,0.130402419
69,-105.55772,40.037303,69,69,Point,0,D13,COMO,NA,0,2899.690984,1001,0.185324893
70,-105.557505,40.037285,70,70,Point,0,D13,COMO,NA,0,2899.690984,1001,0.192741794
71,-105.55731,40.03731,71,71,Point,0,D13,COMO,NA,0,2899.690984,1001,0.168896018
72,-105.557146,40.037389,72,72,Point,0,D13,COMO,NA,0,2899.690984,1001,0.11767051
73,-105.556982,40.037282,73,73,Point,0,D13,COMO,NA,0,2899.690984,1001,0.127416318
74,-105.556796,40.037266,74,74,Point,0,D13,COMO,NA,0,2899.690984,1001,0.096434295
75,-105.556653,40.037165,75,75,Point,0,D13,COMO,NA,0,2899.690984,1001,0.075343935
76,-105.556489,40.037058,76,76,Point,0,D13,COMO,NA,0,2899.690984,1001,0.028437864
77,-105.556357,40.036993,77,77,Point,0,D13,COMO,NA,0,2899.690984,1001,0.034175041
78,-105.556224,40.036873,78,78,Point,0,D13,COMO,NA,0,2899.690984,1001,0.053262307
79,-105.556013,40.036866,79,79,Point,0,D13,COMO,NA,0,2899.690984,1001,0.116843112
80,-105.555831,40.036781,80,80,Point,0,D13,COMO,NA,0,2899.690984,1001,0.138431306
81,-105.555727,40.036634,81,81,Point,0,D13,COMO,NA,0,2899.690984,1001,0.165721754
82,-105.55568,40.036566,82,82,Point,4,D13,COMO,NA,0,1762.790324,1001,0.135443212
83,-105.564924,40.037244,83,151,Point,4,D13,COMO,NA,0,1762.790324,1005,0.110434184
84,-105.564874,40.037325,84,152,Point,4,D13,COMO,NA,0,1762.790324,1005,0.071648673
85,-105.564741,40.037362,85,153,Point,4,D13,COMO,NA,0,1762.790324,1005,0.074492779
86,-105.564673,40.037443,86,154,Point,4,D13,COMO,NA,0,1762.790324,1005,0.06519119
87,-105.564476,40.037442,87,155,Point,4,D13,COMO,NA,0,1762.790324,1005,0.084987114
88,-105.56436,40.037416,88,156,Point,4,D13,COMO,NA,0,1762.790324,1005,0.055389344
89,-105.564361,40.037282,89,157,Point,4,D13,COMO,NA,0,1762.790324,1005,0.083728815
90,-105.56426,40.037161,90,158,Point,4,D13,COMO,NA,0,1762.790324,1005,0.050724402
91,-105.564182,40.037059,91,159,Point,4,D13,COMO,NA,0,1762.790324,1005,0.04455707
92,-105.564041,40.036961,92,160,Point,4,D13,COMO,NA,0,1762.790324,1005,0.045888671
93,-105.56393,40.037011,93,161,Point,4,D13,COMO,NA,0,1762.790324,1005,0.105158668
94,-105.563873,40.037141,94,162,Point,4,D13,COMO,NA,0,1762.790324,1005,0.114822757
95,-105.563725,40.03725,95,163,Point,4,D13,COMO,NA,0,1762.790324,1005,0.091490131
96,-105.563704,40.037159,96,164,Point,4,D13,COMO,NA,0,1762.790324,1005,0.037583122
97,-105.563551,40.03714,97,165,Point,4,D13,COMO,NA,0,1762.790324,1005,0.021561063
98,-105.563346,40.037112,98,166,Point,4,D13,COMO,NA,0,1762.790324,1005,0.011549098
99,-105.563212,40.037118,99,167,Point,4,D13,COMO,NA,0,1762.790324,1005,0.01070317
100,-105.563106,40.037121,100,168,Point,4,D13,COMO,NA,0,1762.790324,1005,0.012257387
101,-105.563072,40.037263,101,169,Point,4,D13,COMO,NA,0,1762.790324,1005,0.014247049
102,-105.562976,40.037298,102,170,Point,4,D13,COMO,NA,0,1762.790324,1005,0.02016241
103,-105.562802,40.037205,103,171,Point,4,D13,COMO,NA,0,1762.790324,1005,0.049374619
104,-105.562876,40.037097,104,172,Point,4,D13,COMO,NA,0,1762.790324,1005,0.071215402
105,-105.562955,40.036968,105,173,Point,4,D13,COMO,NA,0,1762.790324,1005,0.104787666
106,-105.56288,40.036884,106,174,Point,4,D13,COMO,NA,0,1762.790324,1005,0.101954433
107,-105.562798,40.036783,107,175,Point,4,D13,COMO,NA,0,1762.790324,1005,0.120168256
108,-105.562716,40.036723,108,176,Point,4,D13,COMO,NA,0,1762.790324,1005,0.092350341
109,-105.562677,40.036651,109,177,Point,4,D13,COMO,NA,0,1762.790324,1005,0.156318655
110,-105.562528,40.036688,110,178,Point,4,D13,COMO,NA,0,1762.790324,1005,0.161475221
111,-105.562395,40.03665,111,179,Point,4,D13,COMO,NA,0,1762.790324,1005,0.151704194
112,-105.562409,40.036517,112,180,Point,4,D13,COMO,NA,0,1762.790324,1005,0.085623435
113,-105.562237,40.036494,113,181,Point,4,D13,COMO,NA,0,1762.790324,1005,0.077210418
114,-105.562092,40.036474,114,182,Point,4,D13,COMO,NA,0,1762.790324,1005,0.116910058
115,-105.56196,40.03641,115,183,Point,4,D13,COMO,NA,0,1762.790324,1005,0.117201566
