,DayOfYear,Interp.Value,LowerBound,UpperBound,gw_min,gw_max,AvgWaterTemp_C,NEP_median,NEP_lower,NEP_upper,NEP_max,daily_NEP,atm_CO2_ppm,date,measured_discharge
31,129,21877.34975,20744.34839,25740.23728,20585.01,35003.18212,0.46614574,3.209604885,1.665713107,5.08632107,15.36496386,4.597536885,432.4701054,2022-05-09,0.979719792
32,129,21877.34975,20744.34839,25740.23728,20585.01,35003.18212,0.46614574,3.209604885,1.665713107,5.08632107,15.36496386,4.597536885,432.4701054,2020-05-08,1.117541771
33,129,21877.34975,20744.34839,25740.23728,20585.01,35003.18212,0.46614574,3.209604885,1.665713107,5.08632107,15.36496386,4.597536885,432.4701054,2023-05-09,1.260337708
34,129,21877.34975,20744.34839,25740.23728,20585.01,35003.18212,0.46614574,3.209604885,1.665713107,5.08632107,15.36496386,4.597536885,432.4701054,2019-05-09,0.329296458
35,129,21877.34975,20744.34839,25740.23728,20585.01,35003.18212,0.46614574,3.209604885,1.665713107,5.08632107,15.36496386,4.597536885,432.4701054,2021-05-09,0.889585417
36,130,22060.74709,20906.71864,25807.81552,20585.01,35003.18212,0.505024823,3.209604885,1.665713107,5.08632107,15.36496386,6.11290663,435.6372397,2022-05-10,0.724930625
37,130,22060.74709,20906.71864,25807.81552,20585.01,35003.18212,0.505024823,3.209604885,1.665713107,5.08632107,15.36496386,6.11290663,435.6372397,2023-05-10,0.832892188
38,130,22060.74709,20906.71864,25807.81552,20585.01,35003.18212,0.505024823,3.209604885,1.665713107,5.08632107,15.36496386,6.11290663,435.6372397,2019-05-10,0.395357813
39,130,22060.74709,20906.71864,25807.81552,20585.01,35003.18212,0.505024823,3.209604885,1.665713107,5.08632107,15.36496386,6.11290663,435.6372397,2020-05-09,1.520701875
40,130,22060.74709,20906.71864,25807.81552,20585.01,35003.18212,0.505024823,3.209604885,1.665713107,5.08632107,15.36496386,6.11290663,435.6372397,2021-05-10,0.933114368
41,131,22243.6473,21068.95986,25875.39376,20585.01,35003.18212,0.642117647,3.209604885,1.665713107,5.08632107,15.36496386,2.350407141,440.0858577,2022-05-11,0.709859583
42,131,22243.6473,21068.95986,25875.39376,20585.01,35003.18212,0.642117647,3.209604885,1.665713107,5.08632107,15.36496386,2.350407141,440.0858577,2023-05-11,1.030305833
43,131,22243.6473,21068.95986,25875.39376,20585.01,35003.18212,0.642117647,3.209604885,1.665713107,5.08632107,15.36496386,2.350407141,440.0858577,2019-05-11,0.378772396
44,131,22243.6473,21068.95986,25875.39376,20585.01,35003.18212,0.642117647,3.209604885,1.665713107,5.08632107,15.36496386,2.350407141,440.0858577,2021-05-11,0.910682273
45,131,22243.6473,21068.95986,25875.39376,20585.01,35003.18212,0.642117647,3.209604885,1.665713107,5.08632107,15.36496386,2.350407141,440.0858577,2020-05-10,2.023084792
46,132,22425.98656,21231.05283,25942.972,20585.01,35003.18212,0.831837838,3.209604885,1.665713107,5.08632107,15.36496386,2.784853796,440.1731852,2021-05-12,0.807176667
47,132,22425.98656,21231.05283,25942.972,20585.01,35003.18212,0.831837838,3.209604885,1.665713107,5.08632107,15.36496386,2.784853796,440.1731852,2023-05-12,1.383648438
48,132,22425.98656,21231.05283,25942.972,20585.01,35003.18212,0.831837838,3.209604885,1.665713107,5.08632107,15.36496386,2.784853796,440.1731852,2020-05-11,2.948872292
49,132,22425.98656,21231.05283,25942.972,20585.01,35003.18212,0.831837838,3.209604885,1.665713107,5.08632107,15.36496386,2.784853796,440.1731852,2022-05-12,0.690149167
50,132,22425.98656,21231.05283,25942.972,20585.01,35003.18212,0.831837838,3.209604885,1.665713107,5.08632107,15.36496386,2.784853796,440.1731852,2019-05-12,0.340438542
51,133,22607.70106,21392.9783,26010.55024,20585.01,35003.18212,0.817613251,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,437.5162897,2021-05-13,0.705570938
52,133,22607.70106,21392.9783,26010.55024,20585.01,35003.18212,0.817613251,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,437.5162897,2023-05-13,1.222520938
53,133,22607.70106,21392.9783,26010.55024,20585.01,35003.18212,0.817613251,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,437.5162897,2020-05-12,2.809070938
54,133,22607.70106,21392.9783,26010.55024,20585.01,35003.18212,0.817613251,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,437.5162897,2019-05-13,0.328502708
55,133,22607.70106,21392.9783,26010.55024,20585.01,35003.18212,0.817613251,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,437.5162897,2022-05-13,1.212309271
56,134,22788.72695,21554.71704,26078.12848,20585.01,35003.18212,0.982971726,3.209604885,1.665713107,5.08632107,15.36496386,1.097574526,437.1252989,2020-05-13,1.959488333
57,134,22788.72695,21554.71704,26078.12848,20585.01,35003.18212,0.982971726,3.209604885,1.665713107,5.08632107,15.36496386,1.097574526,437.1252989,2023-05-14,1.291422708
58,134,22788.72695,21554.71704,26078.12848,20585.01,35003.18212,0.982971726,3.209604885,1.665713107,5.08632107,15.36496386,1.097574526,437.1252989,2021-05-14,0.554488438
59,134,22788.72695,21554.71704,26078.12848,20585.01,35003.18212,0.982971726,3.209604885,1.665713107,5.08632107,15.36496386,1.097574526,437.1252989,2022-05-14,0.999070625
60,134,22788.72695,21554.71704,26078.12848,20585.01,35003.18212,0.982971726,3.209604885,1.665713107,5.08632107,15.36496386,1.097574526,437.1252989,2019-05-14,0.334831368
61,135,22969.00043,21716.24982,26145.70672,20585.01,35003.18212,1.215287202,3.209604885,1.665713107,5.08632107,15.36496386,2.781544005,432.7726573,2020-05-14,1.334020833
62,135,22969.00043,21716.24982,26145.70672,20585.01,35003.18212,1.215287202,3.209604885,1.665713107,5.08632107,15.36496386,2.781544005,432.7726573,2023-05-15,1.131908958
63,135,22969.00043,21716.24982,26145.70672,20585.01,35003.18212,1.215287202,3.209604885,1.665713107,5.08632107,15.36496386,2.781544005,432.7726573,2019-05-15,0.349247579
64,135,22969.00043,21716.24982,26145.70672,20585.01,35003.18212,1.215287202,3.209604885,1.665713107,5.08632107,15.36496386,2.781544005,432.7726573,2021-05-15,0.520175313
65,135,22969.00043,21716.24982,26145.70672,20585.01,35003.18212,1.215287202,3.209604885,1.665713107,5.08632107,15.36496386,2.781544005,432.7726573,2022-05-15,0.8069225
66,136,23148.45768,21877.5574,26213.28496,20585.01,35003.18212,1.422148426,3.209604885,1.665713107,5.08632107,15.36496386,1.187701791,433.1895057,2023-05-16,1.002153646
67,136,23148.45768,21877.5574,26213.28496,20585.01,35003.18212,1.422148426,3.209604885,1.665713107,5.08632107,15.36496386,1.187701791,433.1895057,2021-05-16,0.677501979
68,136,23148.45768,21877.5574,26213.28496,20585.01,35003.18212,1.422148426,3.209604885,1.665713107,5.08632107,15.36496386,1.187701791,433.1895057,2020-05-15,0.971824688
69,136,23148.45768,21877.5574,26213.28496,20585.01,35003.18212,1.422148426,3.209604885,1.665713107,5.08632107,15.36496386,1.187701791,433.1895057,2022-05-16,0.807125625
70,136,23148.45768,21877.5574,26213.28496,20585.01,35003.18212,1.422148426,3.209604885,1.665713107,5.08632107,15.36496386,1.187701791,433.1895057,2019-05-16,0.362743684
71,137,23327.03485,22038.62054,26280.8632,20585.01,35003.18212,1.303130719,3.209604885,1.665713107,5.08632107,15.36496386,3.565413377,434.2653803,2022-05-17,0.809478125
72,137,23327.03485,22038.62054,26280.8632,20585.01,35003.18212,1.303130719,3.209604885,1.665713107,5.08632107,15.36496386,3.565413377,434.2653803,2020-05-16,0.877271042
73,137,23327.03485,22038.62054,26280.8632,20585.01,35003.18212,1.303130719,3.209604885,1.665713107,5.08632107,15.36496386,3.565413377,434.2653803,2021-05-17,0.928571354
74,137,23327.03485,22038.62054,26280.8632,20585.01,35003.18212,1.303130719,3.209604885,1.665713107,5.08632107,15.36496386,3.565413377,434.2653803,2023-05-17,0.974408333
75,137,23327.03485,22038.62054,26280.8632,20585.01,35003.18212,1.303130719,3.209604885,1.665713107,5.08632107,15.36496386,3.565413377,434.2653803,2019-05-17,0.337346563
76,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2018-05-18,0.82162013
77,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2022-05-18,0.989558958
78,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2020-05-17,0.777648542
79,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2019-05-18,0.296858021
80,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2023-05-18,0.915982813
81,138,23504.66814,22199.42001,26348.44144,20585.01,35003.18212,1.386668958,3.209604885,1.665713107,5.08632107,15.36496386,1.66896617,437.1252919,2021-05-18,0.68743625
82,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2018-05-19,0.98543375
83,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2022-05-19,0.932343542
84,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2020-05-18,0.668523854
85,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2019-05-19,0.318377969
86,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2023-05-19,0.813613438
87,139,23681.29373,22359.93656,26416.01968,20585.01,35003.18212,1.676531963,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,435.8021605,2021-05-19,0.48977375
88,140,23856.84778,22520.15097,26483.59792,20585.01,35003.18212,1.916173958,3.209604885,1.665713107,5.08632107,15.36496386,2.016337595,446.1018871,2022-05-20,1.063208854
