"c_add","coords.x1","coords.x2"
0.000297676785860776,-96.603396,39.105169
0.000291321496901185,-96.6025,39.104749
0.000397861635032712,-96.602282,39.104088
0.000242712809394934,-96.600906,39.104039
0.000220013533837148,-96.5997,39.104301
0.000198947290576786,-96.599724,39.103621
0.000198027529795317,-96.598415,39.102834
0.000256552806070678,-96.597215,39.103307
0.000297287983801847,-96.595763,39.10389
0.000359712924649544,-96.594735,39.102805
0.000316519449129731,-96.59459,39.101824
0.000342636340362298,-96.592665,39.101568
0.000167067579293823,-96.589922,39.101438
0.000279665759436843,-96.589338,39.101813
0.000271292220453789,-96.588567,39.102233
0.000279272092387382,-96.58762,39.102449
0.000390909721602399,-96.586438,39.10189
0.000406222180170832,-96.584987,39.102497
0.000249494450762812,-96.575325,39.100918
0.000574993510385966,-96.592228,39.101229
0.00020635067621288,-96.591247,39.100806
0.000428009447321108,-96.590505,39.100306
0.000520077815988588,-96.59021,39.099271
0.000393314519040098,-96.588239,39.097131
0.00043405347044654,-96.589164,39.096384
0.00068989298359283,-96.589602,39.095249
0.000528720256813566,-96.588193,39.09427
0.000332526502415865,-96.587085,39.092418
0.000150669689414567,-96.583245,39.086396
0.000121237403813156,-96.586314,39.090913
0.000168717029482143,-96.586246,39.090251
0.000572687862531383,-96.585819,39.089567
0.000326177891008352,-96.582969,39.101442
0.000379080378905493,-96.581939,39.101362
0.000117665570944618,-96.579256,39.101632
0.000143426532035163,-96.57822,39.101002
0.000201534307672338,-96.577266,39.100642
0.000154006194839218,-96.576016,39.100957
0.000183383055766869,-96.574294,39.100863
0.000138722773855324,-96.574283,39.100111
0.000367795380242845,-96.574432,39.098967
0.000194741496244821,-96.572801,39.098098
0.000226843384309777,-96.571373,39.097246
0.000428571319671069,-96.571298,39.097102
0.000324398829635081,-96.571372,39.097247
0.000456438735594146,-96.570072,39.0976
0.000573661163486678,-96.585491,39.088401
0.000309382537880005,-96.584922,39.087794
0.000109785685153448,-96.583827,39.087189
0.000193460844925978,-96.583418,39.084318
0.000191252309794741,-96.582967,39.085026
0.000489206353839336,-96.582945,39.085348
0.000125194466859548,-96.582945,39.085348
0.000118006603539912,-96.583245,39.086396
0.000115674661048698,-96.583412,39.086677
