"","coords.x1","coords.x2","FID","Shape","DomainNum","SiteID","Permanent_Identifier","Shape_Le_2","slope"
"63",-84.281415,35.96039,63,"Point","D07","WALK",1007,393.215447,0.0135975688354059
"64",-84.281319,35.960252,64,"Point","D07","WALK",1007,393.215447,0.0106105240774887
"65",-84.281169,35.960141,65,"Point","D07","WALK",1007,393.215447,0.0132105424875248
"66",-84.281007,35.960041,66,"Point","D07","WALK",1007,393.215447,0.0184356912493775
"67",-84.280896,35.959906,67,"Point","D07","WALK",1007,393.215447,0.0187931957695994
"68",-84.280752,35.959783,68,"Point","D07","WALK",1007,393.215447,0.0113993195496329
"69",-84.280644,35.959643,69,"Point","D07","WALK",1007,393.215447,0.00657761605221631
"70",-84.280568,35.959494,70,"Point","D07","WALK",1007,393.215447,0.00770539850408377
"71",-84.280455,35.959379,71,"Point","D07","WALK",1007,393.215447,0.00580494689441996
"72",-84.280306,35.959319,72,"Point","D07","WALK",1007,393.215447,0.0129730737726477
"73",-84.280186,35.959194,73,"Point","D07","WALK",1007,393.215447,0.0126558058530222
"74",-84.280039,35.959067,74,"Point","D07","WALK",1007,393.215447,0.0117116938307603
"75",-84.279845,35.959012,75,"Point","D07","WALK",1007,393.215447,0.00404432325151755
"76",-84.279732,35.958868,76,"Point","D07","WALK",1007,393.215447,0.00544417608140415
"77",-84.279568,35.958762,77,"Point","D07","WALK",1007,393.215447,0.0171787741134511
"78",-84.279419,35.958646,78,"Point","D07","WALK",1007,393.215447,0.0186837030883099
"79",-84.279288,35.958524,79,"Point","D07","WALK",1007,393.215447,0.0237048006634895
"80",-84.283197,35.96092,80,"Point","D07","WALK",1008,128.639552,0.0175344767869547
"81",-84.283116,35.960891,81,"Point","D07","WALK",1008,128.639552,0.0255484231731529
"82",-84.282921,35.960904,82,"Point","D07","WALK",1008,128.639552,0.0185100820873176
"83",-84.282714,35.960891,83,"Point","D07","WALK",1008,128.639552,0.0162116948656206
"84",-84.28253,35.960889,84,"Point","D07","WALK",1008,128.639552,0.0157313776448241
"85",-84.282349,35.960855,85,"Point","D07","WALK",1008,128.639552,0.0202392630614227
"86",-84.282166,35.960815,86,"Point","D07","WALK",1008,128.639552,0.0198335538710881
"87",-84.281983,35.960757,87,"Point","D07","WALK",1008,128.639552,0.0152534279205337
"88",-84.284466,35.96075,88,"Point","D07","WALK",1009,142.953265,0.0206954458672862
"89",-84.284269,35.960719,89,"Point","D07","WALK",1009,142.953265,0.0242331768889208
"90",-84.284082,35.960735,90,"Point","D07","WALK",1009,142.953265,0.0259980437061303
"91",-84.283911,35.960764,91,"Point","D07","WALK",1009,142.953265,0.0255123148826938
"92",-84.283731,35.960772,92,"Point","D07","WALK",1009,142.953265,0.0245263214581394
"93",-84.283554,35.960847,93,"Point","D07","WALK",1009,142.953265,0.0188725571664216
"94",-84.283402,35.960951,94,"Point","D07","WALK",1009,142.953265,0.0164467237123423
"95",-84.283225,35.960911,95,"Point","D07","WALK",1009,142.953265,0.0193211124575154
"96",-84.283197,35.96092,96,"Point","D07","WALK",1009,142.953265,0.0435289433278359
"97",-84.284719,35.960986,97,"Point","D07","WALK",1010,38.162951,0.0625639264696224
"98",-84.284619,35.960844,98,"Point","D07","WALK",1010,38.162951,0.0594136026580804
"99",-84.284466,35.96075,99,"Point","D07","WALK",1010,38.162951,0.0349411925172977
"100",-84.281745,35.961887,100,"Point","D07","WALK",1011,150.953931,0.0158236928519066
"101",-84.281757,35.961743,101,"Point","D07","WALK",1011,150.953931,0.0186515102317226
"102",-84.281796,35.961584,102,"Point","D07","WALK",1011,150.953931,0.0188757577200725
"103",-84.281911,35.961444,103,"Point","D07","WALK",1011,150.953931,0.0140398327380797
"104",-84.282039,35.961319,104,"Point","D07","WALK",1011,150.953931,0.0112027451143553
"105",-84.282102,35.961159,105,"Point","D07","WALK",1011,150.953931,0.0126019035015897
"106",-84.282074,35.960997,106,"Point","D07","WALK",1011,150.953931,0.017461726349351
"107",-84.282013,35.960838,107,"Point","D07","WALK",1011,150.953931,0.0151951940625481
"108",-84.281983,35.960757,108,"Point","D07","WALK",1011,150.953931,0.0500785680707726
"109",-84.283389,35.962091,109,"Point","D07","WALK",1012,150.968296,0.102192081201014
"110",-84.283393,35.962,110,"Point","D07","WALK",1012,150.968296,0.151425567018658
"111",-84.283331,35.961848,111,"Point","D07","WALK",1012,150.968296,0.166234107952696
"112",-84.283309,35.961693,112,"Point","D07","WALK",1012,150.968296,0.153219200312166
"113",-84.283386,35.961539,113,"Point","D07","WALK",1012,150.968296,0.122479184433205
"114",-84.283342,35.961392,114,"Point","D07","WALK",1012,150.968296,0.0915401789938459
"115",-84.283308,35.961242,115,"Point","D07","WALK",1012,150.968296,0.0707964700944482
"116",-84.283247,35.961082,116,"Point","D07","WALK",1012,150.968296,0.0577291264980182
"117",-84.283197,35.96092,117,"Point","D07","WALK",1012,150.968296,0.0381882846193871
"118",-84.277502,35.962124,118,"Point","D07","WALK",1013,241.894169,0.0134236796302528
"119",-84.277487,35.962112,119,"Point","D07","WALK",1013,241.894169,0.0099882283251611
"120",-84.277474,35.961958,120,"Point","D07","WALK",1013,241.894169,0.0097285626540492
"121",-84.277446,35.961796,121,"Point","D07","WALK",1013,241.894169,0.00940157768563932
"122",-84.277396,35.961633,122,"Point","D07","WALK",1013,241.894169,0.00558514200908894
"123",-84.277468,35.961489,123,"Point","D07","WALK",1013,241.894169,0.00876656164278891
"124",-84.277361,35.961383,124,"Point","D07","WALK",1013,241.894169,0.0103632028162125
"125",-84.277266,35.961245,125,"Point","D07","WALK",1013,241.894169,0.0141451431937614
"126",-84.277326,35.961092,126,"Point","D07","WALK",1013,241.894169,0.0125018566542647
"127",-84.27734,35.960947,127,"Point","D07","WALK",1013,241.894169,0.0137700704673895
"128",-84.277436,35.960805,128,"Point","D07","WALK",1013,241.894169,0.00859316352021787
"129",-84.277386,35.960655,129,"Point","D07","WALK",1013,241.894169,0.0116714000505867
"130",-84.277384,35.960481,130,"Point","D07","WALK",1013,241.894169,0.0117908740918959
"131",-84.277397,35.960337,131,"Point","D07","WALK",1013,241.894169,0.0377174386973491
"132",-84.282173,35.962172,132,"Point","D07","WALK",1014,56.234043,0.0617165594627729
"133",-84.282041,35.96204,133,"Point","D07","WALK",1014,56.234043,0.0885696445771297
"134",-84.281892,35.961927,134,"Point","D07","WALK",1014,56.234043,0.0639861329664289
"135",-84.281745,35.961887,135,"Point","D07","WALK",1014,56.234043,0.0492671513645394
"136",-84.27611,35.962931,136,"Point","D07","WALK",1015,187.438547,0.0306505362102073
"137",-84.276251,35.962832,137,"Point","D07","WALK",1015,187.438547,0.0418762552421619
"138",-84.276388,35.962726,138,"Point","D07","WALK",1015,187.438547,0.059053085364305
"139",-84.276552,35.962635,139,"Point","D07","WALK",1015,187.438547,0.0560739011564681
"140",-84.276628,35.962481,140,"Point","D07","WALK",1015,187.438547,0.0502738012554328
"141",-84.276809,35.962451,141,"Point","D07","WALK",1015,187.438547,0.0209723376969757
"142",-84.277026,35.962447,142,"Point","D07","WALK",1015,187.438547,0.0157010090706871
"143",-84.277183,35.96237,143,"Point","D07","WALK",1015,187.438547,0.015060641440933
"144",-84.27729,35.96226,144,"Point","D07","WALK",1015,187.438547,0.0241868147440884
"145",-84.277436,35.962158,145,"Point","D07","WALK",1015,187.438547,0.0215435135587413
"146",-84.277502,35.962124,146,"Point","D07","WALK",1015,187.438547,0.0518396146388567
"147",-84.275476,35.963155,147,"Point","D07","WALK",1016,73.37563,0.0557360533932052
"148",-84.275657,35.963074,148,"Point","D07","WALK",1016,73.37563,0.0643735088465343
"149",-84.275843,35.963042,149,"Point","D07","WALK",1016,73.37563,0.0434422488553136
"150",-84.276009,35.963,150,"Point","D07","WALK",1016,73.37563,0.0425442702341237
"151",-84.27611,35.962931,151,"Point","D07","WALK",1016,73.37563,0.0643616850329008
"152",-84.276074,35.96334,152,"Point","D07","WALK",1017,54.370104,0.078427439800932
"153",-84.276076,35.963189,153,"Point","D07","WALK",1017,54.370104,0.0779205254233158
"154",-84.276049,35.96304,154,"Point","D07","WALK",1017,54.370104,0.0611024982882042
"155",-84.27611,35.962931,155,"Point","D07","WALK",1017,54.370104,0.0366783693635011
"156",-84.280846,35.963367,156,"Point","D07","WALK",1018,251.472104,0.0405786490083437
"157",-84.280718,35.963252,157,"Point","D07","WALK",1018,251.472104,0.0403645297479196
"158",-84.280661,35.963102,158,"Point","D07","WALK",1018,251.472104,0.0474341310931779
"159",-84.280655,35.96296,159,"Point","D07","WALK",1018,251.472104,0.0401694305623141
"160",-84.280716,35.962801,160,"Point","D07","WALK",1018,251.472104,0.0322340382823415
"161",-84.280835,35.962701,161,"Point","D07","WALK",1018,251.472104,0.0295272261362667
"162",-84.280867,35.962571,162,"Point","D07","WALK",1018,251.472104,0.0211791237751943
"163",-84.280972,35.962437,163,"Point","D07","WALK",1018,251.472104,0.0169743673941579
"164",-84.281067,35.962303,164,"Point","D07","WALK",1018,251.472104,0.021918363328844
"165",-84.281213,35.962189,165,"Point","D07","WALK",1018,251.472104,0.0216256339225815
"166",-84.28138,35.962122,166,"Point","D07","WALK",1018,251.472104,0.0232548568301889
"167",-84.281522,35.962032,167,"Point","D07","WALK",1018,251.472104,0.0131122835087404
"168",-84.281646,35.961912,168,"Point","D07","WALK",1018,251.472104,0.0111521339228622
"169",-84.281745,35.961887,169,"Point","D07","WALK",1018,251.472104,0.0158541903099437
"170",-84.277862,35.964548,170,"Point","D07","WALK",1019,365.604483,0.023172074238122
"171",-84.277944,35.964401,171,"Point","D07","WALK",1019,365.604483,0.0282875639429274
"172",-84.277967,35.964253,172,"Point","D07","WALK",1019,365.604483,0.0212740127159495
"173",-84.277951,35.96412,173,"Point","D07","WALK",1019,365.604483,0.0103773401291141
"174",-84.277974,35.963992,174,"Point","D07","WALK",1019,365.604483,0.00580533255105568
"175",-84.277996,35.963862,175,"Point","D07","WALK",1019,365.604483,0.00572163334529611
"176",-84.278068,35.963705,176,"Point","D07","WALK",1019,365.604483,0.0108433581951402
"177",-84.27804,35.963543,177,"Point","D07","WALK",1019,365.604483,0.01106069987583
"178",-84.278026,35.963391,178,"Point","D07","WALK",1019,365.604483,0.0109651379839332
"179",-84.278029,35.963227,179,"Point","D07","WALK",1019,365.604483,0.00992159136005645
"180",-84.277922,35.963128,180,"Point","D07","WALK",1019,365.604483,0.00998743988144397
"181",-84.277798,35.962996,181,"Point","D07","WALK",1019,365.604483,0.0104934089221569
"182",-84.277784,35.96284,182,"Point","D07","WALK",1019,365.604483,0.00622521200780928
"183",-84.277731,35.962693,183,"Point","D07","WALK",1019,365.604483,0.00700327438843648
"184",-84.277686,35.962579,184,"Point","D07","WALK",1019,365.604483,0.00447262737929515
